win	sum	count	div_perbp	chromo
0.0	775.6284102375857	450167	0.0017229792726645573	1
1.0	806.3550276620713	387831	0.0020791402122627414	1
2.0	807.35652870814	472362	0.0017091902581243621	1
3.0	990.0906299553819	485418	0.0020396660815119793	1
4.0	504.6212031534148	634518	0.0007952827235057395	1
5.0	893.2891455601728	640008	0.001395746843102231	1
6.0	880.9530608600563	526734	0.0016724818615469219	1
7.0	835.650800682851	539931	0.0015476992443161275	1
8.0	410.63811456463367	430436	0.0009540050427116544	1
9.0	710.1145325728806	428142	0.001658595822350717	1
10.0	741.547613718643	553502	0.0013397379119111457	1
11.0	913.6379591256165	491062	0.0018605348390338013	1
12.0	976.8188826309821	446361	0.0021884055341550497	1
13.0	532.8151522488064	278398	0.0019138612786327718	1
14.0	572.8396238939391	233126	0.002457210366471089	1
15.0	1194.3450519394924	266374	0.004483714821790011	1
16.0	933.081041941061	257900	0.003617995509659019	1
17.0	611.2568363264578	228765	0.0026719858209361476	1
18.0	642.5170369614332	248320	0.0025874558511655653	1
19.0	835.1314475663295	362632	0.0023029722902731405	1
20.0	728.976605071405	257278	0.0028334199001523834	1
21.0	1168.8613252415137	392126	0.002980830970763259	1
22.0	632.4785488578774	296256	0.002134905449536473	1
23.0	621.8001388953231	290384	0.0021413030294207777	1
24.0	898.3503229256505	297274	0.0030219606253007346	1
25.0	932.7333976277727	407246	0.002290343914066124	1
26.0	980.2428789074457	318656	0.0030761789481680737	1
27.0	755.6489509012356	506593	0.0014916292781409052	1
28.0	431.2846089689348	440861	0.0009782779809711787	1
29.0	586.301207372291	543109	0.0010795276958626924	1
30.0	547.5683047033411	482058	0.001135897142466967	1
31.0	1044.4273051961102	631825	0.0016530325726207577	1
32.0	760.2639164244728	657118	0.0011569671146194028	1
33.0	875.7018277507935	649630	0.001348000904747	1
34.0	706.4232471686515	636619	0.0011096483880761515	1
35.0	810.6290418386895	619860	0.0013077614974973213	1
36.0	797.4430048508966	480592	0.0016592931319100123	1
37.0	569.6285365055862	469631	0.0012129278870125402	1
38.0	516.5823402463678	607397	0.0008504854983583519	1
39.0	533.0916189182514	616673	0.0008644640172640141	1
40.0	439.0830676812388	523528	0.000838700256110922	1
41.0	640.4585785378999	645246	0.0009925804709179135	1
42.0	419.16464496237387	590671	0.0007096414839434708	1
43.0	594.6479886836128	602985	0.0009861737666502694	1
44.0	560.3253387721143	557132	0.0010057317453890896	1
45.0	621.0107192801196	420529	0.0014767369652987537	1
46.0	1129.5070473417968	510104	0.0022142681636329	1
47.0	322.44411500496807	189095	0.0017051964092385736	1
0.0	773.9594077227314	507123	0.0015261768993375007	2
1.0	749.7605346031041	596393	0.0012571585089078915	2
2.0	496.21901554225445	339817	0.0014602536528256515	2
3.0	879.7595584338516	474186	0.001855304792705503	2
4.0	555.0063117937651	528044	0.0010510607293971054	2
5.0	821.8474474971972	543259	0.0015128096313124996	2
6.0	819.5198142228827	592985	0.0013820245271345527	2
7.0	661.6472487247122	440588	0.0015017368805430747	2
8.0	793.5709088204388	475217	0.0016699127110781787	2
9.0	1206.4778064941022	492147	0.002451458215724371	2
10.0	1416.8001157304666	426711	0.003320280273371126	2
11.0	1578.1257687862794	385457	0.004094168140120116	2
12.0	630.0768253479239	404350	0.0015582461366339159	2
13.0	492.7635686841911	470899	0.0010464315462215702	2
14.0	480.1213030211052	446415	0.0010755044141014642	2
15.0	517.4765396224075	353939	0.0014620500697080782	2
16.0	588.3913932028858	491411	0.0011973508798193075	2
17.0	627.7581449876894	407191	0.0015416798136198722	2
18.0	1175.2993608849915	428179	0.002744878569208185	2
19.0	831.2275935345963	429640	0.0019347071816744165	2
20.0	884.801387267631	528579	0.001673924592667569	2
21.0	1050.9682882306254	411214	0.002555769716572455	2
22.0	1001.4155292520628	543366	0.0018429852608592787	2
23.0	769.808764538707	475929	0.001617486567405447	2
24.0	824.3181061622913	566628	0.0014547782780983138	2
25.0	1217.2453665970916	529286	0.002299787575331846	2
26.0	1604.4148435648603	521225	0.0030781617220295657	2
27.0	1009.5153355948645	525845	0.0019197963955060228	2
28.0	885.6074180703638	672252	0.0013173741663399497	2
29.0	513.5494379212688	587092	0.0008747341778141566	2
30.0	873.4072609993129	572875	0.0015246035540027283	2
31.0	723.9702921060749	592371	0.0012221568782166496	2
32.0	613.5066441658026	556474	0.0011024893241477637	2
33.0	664.0728167130928	651957	0.0010185837665875094	2
34.0	644.9300336178445	636112	0.0010138623915565883	2
35.0	728.9289812268246	633615	0.0011504288585763036	2
36.0	760.0752660650421	540593	0.0014060027896495924	2
37.0	687.8681453392587	605910	0.00113526455305121	2
38.0	54.99099462803361	40820	0.0013471581241556495	2
0.0	759.7139012555184	538696	0.0014102831676038403	3
1.0	873.7601905407018	703710	0.0012416481086537094	3
2.0	914.3990424622541	581559	0.0015723237753387947	3
3.0	560.2614994024701	643469	0.0008706891853414385	3
4.0	699.9422812436923	718896	0.0009736349642280556	3
5.0	539.1565509339263	644204	0.0008369344973547607	3
6.0	680.19696327659	709280	0.0009589963953256684	3
7.0	755.8286596977842	628427	0.00120273104067423	3
8.0	830.9306062322595	649363	0.0012796087954383903	3
9.0	722.498721631112	526557	0.0013721187290855728	3
10.0	821.25513890661	504862	0.0016266923216772305	3
11.0	535.2654608277679	522606	0.00102422371887764	3
12.0	288.3813025227855	447747	0.0006440719927163901	3
13.0	337.5919955940511	537002	0.0006286605926869008	3
14.0	580.3481116992344	485391	0.0011956301449743288	3
15.0	526.3936912145078	391883	0.0013432419656236882	3
16.0	805.9675714050566	397011	0.002030088766822724	3
17.0	516.4732929219223	479037	0.0010781490634792768	3
18.0	708.0578927816462	417137	0.001697422891715782	3
19.0	550.4052633094308	367071	0.0014994517772023144	3
20.0	460.0177812373497	390259	0.0011787499615315718	3
21.0	347.26653086938325	231326	0.0015011997391965592	3
22.0	549.3928642811004	339487	0.0016183030993266322	3
23.0	362.67134521930666	326252	0.0011116294925986865	3
24.0	446.34292170598303	317872	0.001404159289607084	3
25.0	446.6216857499791	355462	0.0012564540956557357	3
26.0	498.38500486316957	276242	0.0018041608620816877	3
27.0	375.7579011509493	353914	0.0010617209298048377	3
28.0	474.15257957214493	466418	0.001016582935418755	3
29.0	726.9778917512954	494602	0.0014698240034437698	3
30.0	495.2581902575271	392472	0.0012618943268756168	3
31.0	660.2003388855641	596507	0.0011067771859937336	3
32.0	574.4418699928298	619169	0.0009277626463741398	3
33.0	826.863820945022	585159	0.001413058366948166	3
34.0	466.53670119583415	591449	0.0007888029250126962	3
35.0	849.7794612229939	647323	0.0013127595670522968	3
36.0	550.4917350879273	542558	0.0010146228331126392	3
37.0	525.437059111402	571141	0.0009199778322890531	3
38.0	775.016425318598	596292	0.0012997263510471345	3
39.0	875.7608388749691	556229	0.0015744609484132778	3
40.0	817.5609139410802	468239	0.0017460333589066272	3
41.0	365.6977859870652	130815	0.0027955340441621003	3
0.0	897.0006170582918	311887	0.0028760436217549683	4
1.0	1149.8149137485916	301719	0.003810880036552526	4
2.0	677.7421424180031	142485	0.004756585903203868	4
3.0	1519.5951685930925	379959	0.00399936616475223	4
4.0	420.9092200050944	204471	0.0020585277130013273	4
5.0	1422.7970471260082	323161	0.004402749858819623	4
6.0	936.4190283375711	350205	0.0026739167868464787	4
7.0	497.8158658627062	263730	0.0018875966551499875	4
8.0	624.1484050944351	257762	0.0024214135718004792	4
9.0	389.1866742973071	205885	0.001890310971160148	4
10.0	580.5278637846947	190500	0.003047390361074513	4
11.0	849.8526392688382	251300	0.003381825066728365	4
12.0	415.82918115688256	103169	0.004030563261802311	4
13.0	1036.9594413662246	233011	0.00445025960734139	4
14.0	805.9203053260863	324282	0.0024852452659293034	4
15.0	536.0512722443792	183446	0.0029221202547037232	4
16.0	918.8427154639295	379226	0.002422942296846549	4
17.0	600.2114166107166	454711	0.001319984378233024	4
18.0	544.9153760688376	413676	0.0013172516077046715	4
19.0	886.3987328766214	418126	0.002119932108686428	4
20.0	966.2081617594756	493131	0.001959333649191545	4
21.0	711.740117645078	542041	0.0013130743202914134	4
22.0	613.6588795824599	563722	0.0010885842304938604	4
23.0	645.9966823226271	504017	0.0012816962172359802	4
24.0	412.2284606641343	585795	0.0007037077145829757	4
25.0	332.3020483475989	558568	0.0005949178047213569	4
26.0	995.5944397695101	617872	0.0016113279769426518	4
27.0	771.0850457529737	581260	0.001326575105379647	4
28.0	1093.3014478756943	583015	0.0018752544066202314	4
29.0	675.5689150704582	599152	0.0011275417841723938	4
30.0	1095.627241799643	479823	0.002283398757040915	4
